"ID","result_type","es_type","column_name","compared","original","repro","values_identical","note"
"MA129","Table 1 (A)","N/A","buffer","rank1","Null","Null","Yes","-"
"MA129","Table 1 (A)","N/A","buffer","rank2","50","50","Yes","-"
"MA129","Table 1 (A)","N/A","buffer","rank3","25","25","Yes","-"
"MA129","Table 1 (A)","N/A","buffer","rank4","75","75","Yes","-"
"MA129","Table 1 (A)","N/A","buffer","rank5","200","200","Yes","-"
"MA129","Table 1 (A)","N/A","buffer","rank6","150","150","Yes","-"
"MA129","Table 1 (A)","N/A","buffer","rank7","10","10","Yes","-"
"MA129","Table 1 (A)","N/A","buffer","rank8","100","100","Yes","-"
"MA129","Table 1 (A)","N/A","buffer","rank9","5","5","Yes","-"
