"column_name","compared","original","repro","percent_error","note"
"delta.AICc","rank1",0,0,NA,"Cannot calculate result, original value is zero"
"delta.AICc","rank2",0.96,0.96,0,"Original and reproduced values match exactly"
"delta.AICc","rank3",0.98,0.98,0,"Original and reproduced values match exactly"
"delta.AICc","rank4",1.17,1.17,0,"Original and reproduced values match exactly"
"delta.AICc","rank5",1.34,1.34,0,"Original and reproduced values match exactly"
"delta.AICc","rank6",1.56,1.56,0,"Original and reproduced values match exactly"
"delta.AICc","rank7",1.56,1.56,0,"Original and reproduced values match exactly"
"delta.AICc","rank8",1.61,1.61,0,"Original and reproduced values match exactly"
"delta.AICc","rank9",1.7,1.7,0,"Original and reproduced values match exactly"
"w.AICc","rank1",0.2,0.2,0,"Original and reproduced values match exactly"
"w.AICc","rank2",0.12,0.12,0,"Original and reproduced values match exactly"
"w.AICc","rank3",0.12,0.12,0,"Original and reproduced values match exactly"
"w.AICc","rank4",0.11,0.11,0,"Original and reproduced values match exactly"
"w.AICc","rank5",0.1,0.1,0,"Original and reproduced values match exactly"
"w.AICc","rank6",0.09,0.09,0,"Original and reproduced values match exactly"
"w.AICc","rank7",0.09,0.09,0,"Original and reproduced values match exactly"
"w.AICc","rank8",0.09,0.09,0,"Original and reproduced values match exactly"
"w.AICc","rank9",0.08,0.08,0,"Original and reproduced values match exactly"
